step,model_count,surface_complexity,amplification,apparent_coherence,audit_pressure,hallucination_risk
1,6,1.724167,41.79798,0.412647,0.140656,0.418916
2,6,2.448333,118.707071,0.496751,0.172311,0.412146
3,6,3.1725,230.727273,0.591424,0.203967,0.412641
4,6,3.896667,377.858586,0.693962,0.235622,0.418545
5,6,4.620833,560.10101,0.802783,0.267278,0.428768
6,6,5.345,777.454545,0.916844,0.298933,0.442593
7,6,6.069167,1029.919192,1.0,0.330589,0.459508
8,6,6.793333,1317.494949,1.0,0.362244,0.479129
9,6,7.5175,1640.181818,1.0,0.3939,0.501158
10,6,8.241667,1997.979798,1.0,0.425556,0.525357
11,6,8.965833,2390.888889,1.0,0.457211,0.55153
12,6,9.69,2818.909091,1.0,0.488867,0.579513
